"","campo","ano","local","estado","lat","long","residuo","incidencia","severidade","especie","quimiotipo","index"
"53",38,2009,"Coxilha","RS",-28.306,-52.135,"corn",5,0.31,"Fusarium graminearum","15-ADON",189
"54",38,2009,"Coxilha","RS",-28.306,-52.135,"corn",5,0.31,"Fusarium graminearum","15-ADON",190
"55",38,2009,"Coxilha","RS",-28.306,-52.135,"corn",5,0.31,"Fusarium graminearum","15-ADON",191
"56",27,2009,"Nao-me-Toque","RS",-28.146,-52.418,"corn",6,0.31,"Fusarium graminearum","15-ADON",382
"57",27,2009,"Nao-me-Toque","RS",-28.245,-52.572,"corn",6,0.31,"Fusarium graminearum","15-ADON",383
"58",27,2009,"Nao-me-Toque","RS",-28.245,-52.572,"corn",6,0.31,"Fusarium graminearum","15-ADON",384
"59",41,2010,"Lagoa Vermelha","RS",-28.17861,-51.64911,"corn",12,0.32,"Faus","3-ADON",314
"60",41,2010,"Lagoa Vermelha","RS",-28.17861,-51.64911,"corn",12,0.32,"Fcor","3-ADON",315
"61",41,2010,"Lagoa Vermelha","RS",-28.27044,-51.92267,"corn",12,0.32,"Fusarium graminearum","15-ADON",316
"62",41,2010,"Lagoa Vermelha","RS",-28.27044,-51.92267,"corn",12,0.32,"Fusarium graminearum","15-ADON",317
"63",41,2010,"Lagoa Vermelha","RS",-28.27044,-51.92267,"corn",12,0.32,"Fusarium graminearum","15-ADON",318
"64",36,2010,"Sananduva","RS",-28.60075,-51.03706,"corn",22.5,0.32,"Fcor","NIV",530
"65",36,2010,"Sananduva","RS",-27.97308,-51.78419,"corn",22.5,0.32,"Fusarium graminearum","15-ADON",531
"66",36,2010,"Sananduva","RS",-28.41319,-53.10164,"corn",22.5,0.32,"Fusarium graminearum","15-ADON",532
"67",36,2010,"Sananduva","RS",-28.41319,-53.10164,"corn",22.5,0.32,"Fusarium graminearum","15-ADON",533
"68",36,2010,"Sananduva","RS",-28.41319,-53.10164,"corn",22.5,0.32,"Fusarium graminearum","15-ADON",534
"69",39,2009,"Coxilha","RS",-28.446,-53.531,"soybean",6,0.33,"Fusarium graminearum","15-ADON",192
"70",39,2009,"Coxilha","RS",-28.446,-53.531,"soybean",6,0.33,"Fusarium graminearum","15-ADON",193
"71",39,2009,"Coxilha","RS",-28.446,-53.531,"soybean",6,0.33,"Fusarium graminearum","15-ADON",194
"72",39,2009,"Coxilha","RS",-28.825,-53.613,"soybean",6,0.33,"Fmer","NIV",195
"73",37,2010,"Lagoa Vermelha","RS",-28.22347,-51.50097,"soybean",25.5,0.34,"Fusarium graminearum","15-ADON",300
"74",37,2010,"Lagoa Vermelha","RS",-28.31231,-51.36056,"soybean",25.5,0.34,"Fusarium graminearum","15-ADON",301
"75",37,2010,"Lagoa Vermelha","RS",-28.31231,-51.36056,"soybean",25.5,0.34,"Fusarium graminearum","15-ADON",302
"76",37,2010,"Lagoa Vermelha","RS",-28.33378,-51.30022,"soybean",25.5,0.34,"Fusarium graminearum","15-ADON",303
"77",13,2011,"Condor","RS",-28.52192,-53.79314,"soybean",15,0.35,"Fusarium graminearum","15-ADON",151
"78",5,2011,"Ijui","RS",-28.46053,-53.86439,"soybean",14,0.35,"Fusarium graminearum","15-ADON",254
"79",5,2011,"Ijui","RS",-28.46053,-53.86439,"soybean",14,0.35,"Fusarium graminearum","15-ADON",255
"80",5,2011,"Ijui","RS",-28.07047,-51.91642,"soybean",14,0.35,"Fusarium graminearum","15-ADON",256
"81",6,2011,"Ijui","RS",-28.37331,-53.83989,"soybean",8,0.35,"Fusarium graminearum","15-ADON",257
"82",6,2011,"Ijui","RS",-28.07047,-51.91642,"soybean",8,0.35,"Fusarium graminearum","15-ADON",258
"83",44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fusarium graminearum","15-ADON",161
"84",44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fusarium graminearum","15-ADON",162
"85",44,2009,"Coronel Barros","RS",-28.218,-51.579,"corn",8,0.37,"Fusarium graminearum","15-ADON",163
"86",41,2011,"Sananduva","RS",-28.38442,-53.35019,"soybean",12.5,0.37,"Fusarium graminearum","15-ADON",535
"87",41,2011,"Sananduva","RS",-28.38442,-53.35019,"soybean",12.5,0.37,"Fusarium graminearum","15-ADON",536
"88",46,2009,"Coronel Barros","RS",-28.276,-51.467,"soybean",10,0.38,"Fusarium graminearum","15-ADON",167
"89",26,2011,"Nao-me-Toque","RS",-28.64086,-52.85092,"corn",5.5,0.38,"Fusarium graminearum","15-ADON",376
"90",26,2011,"Nao-me-Toque","RS",-28.60225,-52.86258,"corn",5.5,0.38,"Fusarium graminearum","15-ADON",377
"91",26,2011,"Nao-me-Toque","RS",-28.64086,-52.85092,"corn",5.5,0.38,"Fusarium graminearum","15-ADON",378
"92",26,2011,"Nao-me-Toque","RS",-28.64086,-52.85092,"corn",5.5,0.38,"Fusarium graminearum","15-ADON",379
"93",26,2011,"Nao-me-Toque","RS",-28.34125,-53.50169,"corn",5.5,0.38,"Fusarium graminearum","15-ADON",380
"94",26,2011,"Nao-me-Toque","RS",-28.38889,-53.25869,"corn",5.5,0.38,"Fusarium graminearum","15-ADON",381
"95",38,2010,"Barreto","RS",-28.32164,-51.23739,"soybean",13,0.46,"Faus","3-ADON",29
"96",38,2010,"Barreto","RS",-28.24944,-51.84692,"soybean",13,0.46,"Fcor","NIV",30
"97",38,2010,"Barreto","RS",-28.27356,-52.68206,"soybean",13,0.46,"Fusarium graminearum","15-ADON",31
"98",38,2010,"Barreto","RS",-28.26644,-51.66858,"soybean",13,0.46,"Fmer","NIV",32
"99",34,2010,"Ibiaca","RS",-28.31231,-51.36056,"corn",6,0.47,"Fcor","NIV",238
"100",34,2010,"Ibiaca","RS",-28.17861,-51.64911,"corn",6,0.47,"Fusarium graminearum","15-ADON",239
"101",34,2010,"Ibiaca","RS",-28.17861,-51.64911,"corn",6,0.47,"Fusarium graminearum","15-ADON",240
"102",34,2010,"Ibiaca","RS",-28.31231,-51.36056,"corn",6,0.47,"Fmer","NIV",241
"103",34,2010,"Ibiaca","RS",-28.27044,-51.92267,"corn",6,0.47,"Fmer","NIV",242
"104",57,2011,"Vacaria","RS",-28.31181,-52.80419,"corn",6.5,0.51,"Fusarium graminearum","15-ADON",664
"105",48,2009,"Ijui","RS",-28.587,-52.627,"soybean",5,0.55,"Fusarium graminearum","15-ADON",270
"106",48,2009,"Ijui","RS",-28.491,-52.561,"soybean",5,0.55,"Fusarium graminearum","15-ADON",271
"107",24,2011,"Victor Graeff","RS",-28.37067,-52.98822,"soybean",18.5,0.58,"Fusarium graminearum","15-ADON",666
"108",24,2011,"Victor Graeff","RS",-28.37067,-52.98822,"soybean",18.5,0.58,"Fusarium graminearum","15-ADON",667
"109",18,2011,"Colorado","RS",-28.42317,-53.91117,"soybean",17,0.61,"Fusarium graminearum","15-ADON",144
"110",44,2010,"Vacaria","RS",-28.45236,-50.99744,"corn",14,0.63,"Fusarium graminearum","15-ADON",639
"111",44,2010,"Vacaria","RS",-28.60075,-51.03706,"corn",14,0.63,"Fusarium graminearum","15-ADON",640
"112",44,2010,"Vacaria","RS",-28.60075,-51.03706,"corn",14,0.63,"Fusarium graminearum","15-ADON",641
"113",50,2011,"Lagoa Vermelha","RS",-28.07047,-51.91642,"soybean",16,0.65,"Fusarium graminearum","15-ADON",319
"114",50,2011,"Lagoa Vermelha","RS",-28.37986,-52.78922,"soybean",16,0.65,"Fusarium graminearum","15-ADON",320
"115",50,2011,"Lagoa Vermelha","RS",-28.37986,-52.78922,"soybean",16,0.65,"Fusarium graminearum","15-ADON",321
"116",50,2011,"Lagoa Vermelha","RS",-28.26447,-52.21114,"soybean",16,0.65,"Fusarium graminearum","15-ADON",322
"117",40,2009,"Passo Fundo","RS",-28.266,-51.919,"potato",6.5,0.66,"Fusarium graminearum","15-ADON",448
"118",40,2009,"Passo Fundo","RS",-27.926,-53.317,"potato",6.5,0.66,"Fusarium graminearum","15-ADON",449
"119",17,2011,"Panambi","RS",-28.34125,-53.50169,"corn",14.5,0.7,"Fusarium graminearum","15-ADON",429
"120",17,2011,"Panambi","RS",-28.30167,-52.04822,"corn",14.5,0.7,"Fusarium graminearum","15-ADON",430
"121",17,2011,"Panambi","RS",-28.30167,-52.04822,"corn",14.5,0.7,"Fusarium graminearum","15-ADON",431
"122",17,2011,"Panambi","RS",-28.38442,-53.35019,"corn",14.5,0.7,"Fusarium graminearum","15-ADON",432
"123",42,2010,"Vacaria","RS",-28.35564,-51.11736,"corn",13,0.73,"Fusarium graminearum","15-ADON",626
"124",42,2010,"Vacaria","RS",-28.35564,-51.11736,"corn",13,0.73,"Fusarium graminearum","15-ADON",627
"125",42,2010,"Vacaria","RS",-28.35564,-51.11736,"corn",13,0.73,"Fusarium graminearum","15-ADON",628
"126",42,2010,"Vacaria","RS",-28.35564,-51.11736,"corn",13,0.73,"Fusarium graminearum","15-ADON",629
"127",42,2010,"Vacaria","RS",-28.39075,-51.05486,"corn",13,0.73,"Fusarium graminearum","15-ADON",630
"128",42,2010,"Vacaria","RS",-28.39075,-51.05486,"corn",13,0.73,"Fusarium graminearum","15-ADON",631
"129",42,2010,"Vacaria","RS",-28.39075,-51.05486,"corn",13,0.73,"Fusarium graminearum","15-ADON",632
"130",40,2010,"Lagoa Vermelha","RS",-28.33378,-51.30022,"corn",11.5,0.74,"Fusarium graminearum","15-ADON",309
"131",40,2010,"Lagoa Vermelha","RS",-28.33378,-51.30022,"corn",11.5,0.74,"Fusarium graminearum","15-ADON",310
"132",40,2010,"Lagoa Vermelha","RS",-28.32164,-51.23739,"corn",11.5,0.74,"Fusarium graminearum","15-ADON",311
"133",40,2010,"Lagoa Vermelha","RS",-28.32164,-51.23739,"corn",11.5,0.74,"Fusarium graminearum","15-ADON",312
"134",40,2010,"Lagoa Vermelha","RS",-28.32164,-51.23739,"corn",11.5,0.74,"Fusarium graminearum","15-ADON",313
"135",15,2011,"Panambi","RS",-28.39694,-51.15861,"soybean",6,0.74,"Fcor","NIV",425
"136",15,2011,"Panambi","RS",-28.068,-53.3935,"soybean",6,0.74,"Fusarium graminearum","15-ADON",426
"137",15,2011,"Panambi","RS",-28.26447,-53.48119,"soybean",6,0.74,"Fusarium graminearum","15-ADON",427
"138",12,2011,"Panambi","RS",-28.34644,-53.53064,"soybean",13.5,0.75,"Fusarium graminearum","15-ADON",422
"139",12,2011,"Panambi","RS",-28.38889,-53.25869,"soybean",13.5,0.75,"Fusarium graminearum","15-ADON",423
"140",12,2011,"Panambi","RS",-28.38889,-53.25869,"soybean",13.5,0.75,"Fusarium graminearum","15-ADON",424
"141",14,2011,"Palmeira das Missoes","RS",-28.34125,-53.50169,"soybean",5.5,0.76,"Fusarium graminearum","15-ADON",390
"142",25,2009,"Sagrada Familia","RS",-28.377,-52.519,"corn",16,0.82,"Fusarium graminearum","15-ADON",521
"143",25,2009,"Sagrada Familia","RS",-28.381,-53.306,"corn",16,0.82,"Fusarium graminearum","15-ADON",522
"144",25,2009,"Sagrada Familia","RS",-28.341,-53.501,"corn",16,0.82,"Fusarium graminearum","15-ADON",523
"145",25,2009,"Sagrada Familia","RS",-28.39,-54.6,"corn",16,0.82,"Fusarium graminearum","15-ADON",524
"146",51,2011,"Tapejara","RS",-28.11081,-51.72869,"soybean",9.5,0.85,"Fusarium graminearum","15-ADON",606
"147",39,2010,"Lagoa Vermelha","RS",-28.17861,-51.64911,"soybean",25.5,0.9,"Fcor","3-ADON",304
"148",39,2010,"Lagoa Vermelha","RS",-28.27044,-51.92267,"soybean",25.5,0.9,"Fcor","NIV",305
"149",39,2010,"Lagoa Vermelha","RS",-27.97308,-51.78419,"soybean",25.5,0.9,"Fcor","NIV",306
"150",39,2010,"Lagoa Vermelha","RS",-28.33378,-51.30022,"soybean",25.5,0.9,"Fusarium graminearum","15-ADON",307
"151",39,2010,"Lagoa Vermelha","RS",-28.33378,-51.30022,"soybean",25.5,0.9,"Fusarium graminearum","15-ADON",308
"152",47,2009,"Ijui","RS",-28.327,-51.271,"corn",21.5,0.93,"Fusarium graminearum","15-ADON",268
"153",47,2009,"Ijui","RS",-28.587,-52.627,"corn",21.5,0.93,"Fusarium graminearum","15-ADON",269
"154",50,2009,"Vacaria","RS",-28.67142,-51.13514,"corn",14,0.93,"Fcor","NIV",652
"155",50,2009,"Vacaria","RS",-28.30103,-51.46317,"corn",14,0.93,"Fcor","NIV",653
"156",50,2009,"Vacaria","RS",-28.37,-51.092,"corn",14,0.93,"Fusarium graminearum","15-ADON",654
"157",50,2009,"Vacaria","RS",-28.37,-51.092,"corn",14,0.93,"Fusarium graminearum","15-ADON",655
"158",50,2009,"Vacaria","RS",-28.37,-51.092,"corn",14,0.93,"Fusarium graminearum","15-ADON",656
"159",50,2009,"Vacaria","RS",-28.37,-51.092,"corn",14,0.93,"Fusarium graminearum","15-ADON",657
"160",50,2009,"Vacaria","RS",-28.37,-51.092,"corn",14,0.93,"Fusarium graminearum","15-ADON",658
"161",50,2009,"Vacaria","RS",-28.285,-52.704,"corn",14,0.93,"Fusarium graminearum","15-ADON",659
"162",50,2009,"Vacaria","RS",-28.319,-52.834,"corn",14,0.93,"Fusarium graminearum","15-ADON",660
"163",50,2009,"Vacaria","RS",-28.319,-52.834,"corn",14,0.93,"Fusarium graminearum","15-ADON",661
"164",31,2011,"Sertao","RS",-28.06872,-51.99578,"soybean",29.5,0.97,"Fusarium graminearum","15-ADON",576
"165",31,2011,"Sertao","RS",-28.11081,-51.72869,"soybean",29.5,0.97,"Fusarium graminearum","15-ADON",577
"166",31,2011,"Sertao","RS",-28.20564,-53.47161,"soybean",29.5,0.97,"Fmer","NIV",578
"167",27,2010,"Mato Castelhano","RS",-28.04308,-52.27006,"corn",50,1.06,"Fcor","NIV",370
"168",27,2010,"Mato Castelhano","RS",-28.2113,-52.35542,"corn",50,1.06,"Fusarium graminearum","15-ADON",371
"169",27,2010,"Mato Castelhano","RS",-28.21131,-52.35542,"corn",50,1.06,"Fusarium graminearum","15-ADON",372
"170",27,2010,"Mato Castelhano","RS",-28.21131,-52.35542,"corn",50,1.06,"Fusarium graminearum","15-ADON",373
"171",27,2010,"Mato Castelhano","RS",-28.08597,-52.02053,"corn",50,1.06,"Fmer","NIV",374
"172",33,2010,"Lagoa Vermelha","RS",-28.17861,-51.64911,"corn",41.5,1.08,"Fusarium graminearum","15-ADON",294
"173",33,2010,"Lagoa Vermelha","RS",-28.17861,-51.64911,"corn",41.5,1.08,"Fusarium graminearum","15-ADON",295
"174",33,2010,"Lagoa Vermelha","RS",-28.17861,-51.64911,"corn",41.5,1.08,"Fusarium graminearum","15-ADON",296
"175",33,2010,"Lagoa Vermelha","RS",-28.22347,-51.50097,"corn",41.5,1.08,"Fusarium graminearum","15-ADON",297
"176",33,2010,"Lagoa Vermelha","RS",-28.22347,-51.50097,"corn",41.5,1.08,"Fusarium graminearum","15-ADON",298
"177",33,2010,"Lagoa Vermelha","RS",-28.22347,-51.50097,"corn",41.5,1.08,"Fusarium graminearum","15-ADON",299
"178",17,2010,"Erechim","RS",-28.14261,-51.69828,"soybean",26,1.1,"Fcor","NIV",215
"179",17,2010,"Erechim","RS",-27.70072,-52.28536,"soybean",26,1.1,"Fusarium graminearum","15-ADON",216
"180",17,2010,"Erechim","RS",-27.91617,-52.23206,"soybean",26,1.1,"Fusarium graminearum","15-ADON",217
"181",17,2010,"Erechim","RS",-27.91617,-52.23206,"soybean",26,1.1,"Fusarium graminearum","15-ADON",218
"182",17,2010,"Erechim","RS",-27.91617,-52.23206,"soybean",26,1.1,"Fusarium graminearum","15-ADON",219
"183",1,2011,"Ijui","RS",-28.36456,-53.79106,"soybean",37,1.16,"Fusarium graminearum","15-ADON",243
"184",1,2011,"Ijui","RS",-28.37986,-52.78922,"soybean",37,1.16,"Fmer","NIV",244
