"campo","ano","local","estado","lat","long","residuo","inc","sev","especie","index"
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",68
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",69
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",70
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",71
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",72
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",73
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",74
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",75
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",76
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fgra",77
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fmer",78
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fmer",79
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fmer",80
NA,2011,"Cantagalo","PR",-25.3744,-52.1264,NA,NA,NA,"Fmer",81
2,2010,"Carazinho","RS",-28.2736,-52.6821,"soybean",72.5,14.27,"Fgra",82
2,2010,"Carazinho","RS",-28.3169,-52.7532,"soybean",72.5,14.27,"Fgra",83
2,2010,"Carazinho","RS",-28.3169,-52.7532,"soybean",72.5,14.27,"Fgra",84
2,2010,"Carazinho","RS",-28.3169,-52.7532,"soybean",72.5,14.27,"Fgra",85
3,2010,"Carazinho","RS",-28.3169,-52.7532,"soybean",67,18.65,"Fgra",86
3,2010,"Carazinho","RS",-28.3169,-52.7532,"soybean",67,18.65,"Fgra",87
3,2010,"Carazinho","RS",-28.3118,-52.8042,"soybean",67,18.65,"Fgra",88
3,2010,"Carazinho","RS",-28.3118,-52.8042,"soybean",67,18.65,"Fgra",89
3,2010,"Carazinho","RS",-28.3118,-52.8042,"soybean",67,18.65,"Fgra",90
4,2010,"Carazinho","RS",-28.3123,-51.3606,"soybean",43.5,17.48,"Fcor",91
4,2010,"Carazinho","RS",-28.3118,-52.8042,"soybean",43.5,17.48,"Fgra",92
4,2010,"Carazinho","RS",-28.336,-52.8453,"soybean",43.5,17.48,"Fgra",93
4,2010,"Carazinho","RS",-28.336,-52.8453,"soybean",43.5,17.48,"Fgra",94
4,2010,"Carazinho","RS",-28.336,-52.8453,"soybean",43.5,17.48,"Fgra",95
5,2010,"Carazinho","RS",-28.3348,-52.8807,"soybean",26,6.1,"Fgra",96
5,2010,"Carazinho","RS",-28.3348,-52.8807,"soybean",26,6.1,"Fgra",97
5,2010,"Carazinho","RS",-28.3348,-52.8807,"soybean",26,6.1,"Fgra",98
5,2010,"Carazinho","RS",-28.4215,-51.0399,"soybean",26,6.1,"Fgra",99
6,2010,"Carazinho","RS",-28.2664,-51.6686,"soybean",70.71,8.13,"Fasi",100
6,2010,"Carazinho","RS",-28.3348,-52.8807,"soybean",70.71,8.13,"Fgra",101
6,2010,"Carazinho","RS",-28.3504,-52.9476,"soybean",70.71,8.13,"Fgra",102
6,2010,"Carazinho","RS",-28.3504,-52.9476,"soybean",70.71,8.13,"Fgra",103
6,2010,"Carazinho","RS",-28.3504,-52.9476,"soybean",70.71,8.13,"Fgra",104
7,2010,"Carazinho","RS",-28.3504,-52.9476,"soybean",35,8.02,"Fgra",105
7,2010,"Carazinho","RS",-28.3504,-52.9476,"soybean",35,8.02,"Fgra",106
7,2010,"Carazinho","RS",-28.2494,-51.8469,"soybean",35,8.02,"Fgra",107
7,2010,"Carazinho","RS",-28.2494,-51.8469,"soybean",35,8.02,"Fgra",108
7,2010,"Carazinho","RS",-28.2479,-51.784,"soybean",35,8.02,"Fgra",109
19,2011,"Carazinho","RS",-28.3424,-52.9209,"corn",9,0.23,"Fgra",110
19,2011,"Carazinho","RS",-28.4862,-52.8144,"corn",9,0.23,"Fgra",111
19,2011,"Carazinho","RS",-28.4862,-52.8144,"corn",9,0.23,"Fgra",112
20,2011,"Carazinho","RS",-28.4024,-53.0779,"soybean",28.5,1.43,"Fgra",113
26,2009,"Carazinho","RS",-28.147,-52.301,"corn",21.11,1.19,"Fgra",114
26,2009,"Carazinho","RS",-28.147,-52.301,"corn",21.11,1.19,"Fgra",115
26,2009,"Carazinho","RS",-28.147,-52.301,"corn",21.11,1.19,"Fgra",116
28,2011,"Carazinho","RS",-28.2056,-53.4716,"soybean",28.5,1.94,"Fgra",117
28,2011,"Carazinho","RS",-28.4028,-53.9524,"soybean",28.5,1.94,"Fgra",118
42,2009,"Carazinho","RS",-28.248,-51.822,"corn",3,0.12,"Fgra",119
42,2009,"Carazinho","RS",-28.248,-51.822,"corn",3,0.12,"Fgra",120
42,2009,"Carazinho","RS",-28.248,-51.822,"corn",3,0.12,"Fgra",121
43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fgra",122
43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fgra",123
43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fgra",124
43,2009,"Carazinho","RS",-28.26,-51.701,"soybean",24,1.27,"Fgra",125
NA,2009,"Cascavel","PR",-24.9558,-53.4553,NA,NA,NA,"Fgra",126
NA,2009,"Cascavel","PR",-24.9558,-53.4553,NA,NA,NA,"Fgra",127
NA,2009,"Cascavel","PR",-24.9558,-53.4553,NA,NA,NA,"Fgra",128
NA,2009,"Cascavel","PR",-24.9558,-53.4553,NA,NA,NA,"Fgra",129
NA,2009,"Cascavel","PR",-24.9558,-53.4553,NA,NA,NA,"Fgra",130
30,2010,"Caseiros","RS",-28.2479,-51.784,"corn",37,3.27,"Fgra",131
30,2010,"Caseiros","RS",-28.2479,-51.784,"corn",37,3.27,"Fgra",132
30,2010,"Caseiros","RS",-27.7007,-52.2854,"corn",37,3.27,"Fmer",133
31,2010,"Caseiros","RS",-28.2479,-51.784,"soybean",24.5,2.11,"Fgra",134
31,2010,"Caseiros","RS",-28.2479,-51.784,"soybean",24.5,2.11,"Fgra",135
31,2010,"Caseiros","RS",-28.2664,-51.6686,"soybean",24.5,2.11,"Fgra",136
31,2010,"Caseiros","RS",-28.2664,-51.6686,"soybean",24.5,2.11,"Fgra",137
31,2010,"Caseiros","RS",-28.1728,-52.3174,"soybean",24.5,2.11,"Fgra",138
32,2010,"Caseiros","RS",-28.3216,-51.2374,"corn",20,1.67,"Faus",139
32,2010,"Caseiros","RS",-28.1728,-52.3174,"corn",20,1.67,"Fgra",140
32,2010,"Caseiros","RS",-28.1728,-52.3174,"corn",20,1.67,"Fgra",141
32,2010,"Caseiros","RS",-28.1426,-51.6983,"corn",20,1.67,"Fmer",142
32,2010,"Caseiros","RS",-28.1426,-51.6983,"corn",20,1.67,"Fmer",143
18,2011,"Colorado","RS",-28.4232,-53.9112,"soybean",17,0.61,"Fgra",144
12,2009,"Condor","RS",-27.764,-53.32,"corn",44,2.24,"Fgra",145
12,2009,"Condor","RS",-27.764,-53.32,"corn",44,2.24,"Fgra",146
13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fgra",147
13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fgra",148
13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fgra",149
13,2009,"Condor","RS",-27.642,-53.327,"soybean",70.5,12.81,"Fgra",150
13,2011,"Condor","RS",-28.5219,-53.7931,"soybean",15,0.35,"Fgra",151
14,2009,"Condor","RS",-27.722,-53.239,"soybean",55,6.24,"Fgra",152
